,formula
0,Cs
1,As
2,Hf
3,BaTe
4,Hf2S
5,Nb4CoSi
6,Mo3P
7,TlAgTe2
8,Ca7Ge
9,GaTe
10,BaN2
11,Al(CoSi)2
12,TaO3
13,Sc2ZnS4
14,Y2ZnS4
15,Sc2ZnSe4
16,Zn(InSe2)2
17,Mg(ScSe2)2
18,Y2ZnSe4
19,Cu2PPd2
20,Y2MgS4
21,Mg(InSe2)2
22,Li48P16S61
23,Li(CN)2
24,H2CO3
25,Na2H3CO6
26,Si
27,Mn3N2
28,SnS
29,TaS2
30,SiOs
31,CaFeO3
32,LiC6
33,C4O3
34,HfB12
35,B12W
36,LuNiC2
37,LuTlS2
38,PrBi
39,LuFeC2
40,LuTlSe2
41,LuSi
42,LuGa
43,LuCoC2
44,LiZrSe2
45,LuCuS2
46,LiSnS2
47,LiTiS2
48,LiScS2
49,LiRh3
50,ZrB6
51,LiO3
52,KCoCl3
53,Ac
54,LiBe
55,VN
56,LiB
57,InBi
58,LiB
59,MnGa
60,HoBi
61,Li2SnIr
62,HfN
63,HoAs
64,ScC
65,SnS2
66,NaLiICl
67,CsLiICl
68,KNaICl
69,CsKICl
70,Ga
71,LaPt
72,HfPd
73,LaRh
74,VCo
75,VH
76,LaPd
77,HfIr
78,KZrS2
79,LaGa
80,LaAu
81,GeC
82,TcN
83,TcB
84,TcB
85,ReN
86,EuS
87,TlSb
88,TmSb
89,ErH
90,ErAs
91,PuBi
92,La
93,Ce
94,SiRu2
95,MgMn2O4
96,MgMnO2
97,KMnO2
98,NaMn2O4
99,LiMnO2
100,MnHO2
101,KMnO2
102,ScTe
103,TiSe
104,TbGe2
105,Ge2Os
106,NbS2
107,CaMn2O4
108,KMn4O8
109,Li2Mn3O6
110,KMn2O4
111,LiMn4O8
112,KMn4O8
113,Mn3HO6
114,CaMn16O32
115,CaMn8O16
116,CaMn4O8
117,CaMnO2
118,CaMnO2
119,Mn8HO16
120,KMn2O4
121,CaMn4O8
122,MgMn4O8
123,Mg2Mn3O6
124,CaMnO2
125,CaMn2O4
126,LiMn16O32
127,Ce3AlC
128,NaMn16O32
129,NaMn4O8
130,LiMn3O6
131,NaMn8O16
132,Ca3Mn4O8
133,MgMn2O4
134,AlCo3C
135,MgMn2O4
136,NaMn2O4
137,K3Mn4O8
138,Mn2HO4
139,NaMn2O4
140,NaMn2O4
141,Li3Mn4O8
142,MgMn2O4
143,MgMn6O12
144,KMnO2
145,MgMnO2
146,Pr3AlC
147,Mn2HO4
148,CaMn4O8
149,Nb3Si
150,CaMnO2
151,CaMn2O4
152,LiMnO2
153,MgMn4O8
154,NaMn2O4
155,BAs
156,Ba5As3
157,SmB12
158,WS
159,CsB3PbF12
160,CsBPb(IF2)2
161,CCl4
162,V2AsC
163,Ca5As3
164,PrB12
165,NdB12
166,Mn3(HO3)2
167,LiMn4O8
168,GaAs
169,MnAsRu
170,FeP
171,TeAs
172,TiAs
173,ZrAs
174,Co2B4Mo
175,UCo3B2
176,Sc3Al3C2O5
177,Sm6GaCo2
178,Sm2Co12P7
179,Sm2InHg
180,VCoB3
181,Sm3Np
182,Sm3In
183,Sm2AlGe6
184,SmHSO5
185,SmGe2Pt
186,SmGd3
187,Sm3Au
188,Sm2(Ga3Co)3
189,Sm2CuAs3O
190,YbCo3B2
191,Sm2Mn12P7
192,Tb2Co3Ge5
193,Sm3Gd
194,ZrCo3B2
195,Tm3Ni7B2
196,Zr9CoMo4
197,DyBPd3
198,PaNi2Ge
199,LaPrIn2
200,UCd2O5
201,Tl3Bi
202,Gd2AgRh
203,Lu(BRh)4
204,ErBPd3
205,P2S7
206,Pa3Mo
207,Hf3Pb
208,Eu(MgBi)2
209,PmPu3
210,Ba2NdNb(CuO4)2
211,GdB12
212,ZnBi
213,EuInNi5
214,CeSm3
215,CeYTl2
216,ErPu3
217,CeGa4Co9
218,AcEuAu2
219,Nd7Co3
220,Er3(In2Co)2
221,CdSnSb2
222,Ce(CuSb)2
223,Ce(FeB)4
224,CeLu3
225,Ce(YS2)3
226,LiCeSn
227,Ce3Cu
228,CeY3
229,Er2Co3Ge5
230,Ce2HfSe5
231,Ce2SnSe4
232,CePS
233,AgSO4
234,Ce4Si3Rh4
235,CeZnIn
236,UFe3B2
237,Rb(Zr3Te4)4
238,Zn3In2O6
